"|","||","||__weightedAverage","||__max","||__min","||__stddev","||__median","||__volume","||__orderCount","||__percentile"
"","sell","89249.9474736","116000.0","73880.0","8704.98731571","79880.0","75581.0","24","73895.4697609"
"2352","buy","56252.8476821","59260.0","158.0","26947.9810499","50495.0","3473.0","4","59260.0"
"","sell","79173.0001476","110000.0","69540.0","9762.6016263","83080.0","54194.0","23","69812.7781673"
"9846","buy","73968.0","74000.0","73940.0","32.1455025366","73950.0","5555.0","3","74000.0"
"","sell","118304.694558","204700.0","95640.0","38317.9521184","104750.0","79524.0","22","97933.3101957"
"9848","buy","56954.1995572","57330.0","325.0","26223.1919888","52790.0","102537.0","10","57238.6962755"
"","sell","71456.7108965","62000000.0","59800.0","5904746.46118","65980.0","847091.0","110","60163.5045703"
"2351","buy","39846.5177774","75000.0","1240.0","28112.2568761","61980.0","5597.0","6","75000.0"
"","sell","87217.2032846","196000.0","79960.0","23554.4174658","83845.0","35438.0","26","79987.4772843"
"2349","buy","67228.4743041","68230.0","51240.0","8009.00534815","65115.0","7472.0","4","68230.0"
"","sell","84786.7927856","103400.0","74990.0","7728.53021818","85320.0","55001.0","25","74990.0"
"2346","buy","60266.1156123","64000.0","59190.0","1766.46162332","60170.0","6418.0","6","64000.0"
"","sell","76945.4485834","89500.0","71980.0","4593.26297727","74210.0","125339.0","29","72383.3292112"
"12836","buy","45677.691287","45700.0","1.55","26372.4729873","45660.0","2261.0","3","45700.0"
"","sell","65363.8430309","100100.0","58640.0","7441.0388638","62980.0","282030.0","51","58659.7156331"
"17136","buy","62009.99001","62010.0","62000.0","7.07106781187","62005.0","1001.0","2","62010.0"
"","sell","88539.8583872","129900.0","67800.0","11533.2654716","77335.0","221802.0","54","67913.8632654"
"28974","buy","30301.2804805","40960.0","30300.0","7537.75828745","35630.0","8325.0","2","30325.6096096"
"","sell","77222.7578737","79420.0","76490.0","1151.53003807","76970.0","6001.0","8","76490.0"
"2867","buy","1446700.25586","1493000.0","1.53","493260.608898","1361500.0","5081.0","8","1493000.0"
"","sell","1891708.21836","2500000.0","1580000.0","192116.437252","1778000.0","16670.0","38","1604148.77025"
"2868","buy","1618747.87053","1620000.0","1.82","779790.249835","1524500.0","587.0","4","1620000.0"
"","sell","4281836.18272","14900000.0","1789000.0","2327204.1936","1957500.0","22110.0","36","1791918.58887"
"2869","buy","21083.2356178","753000.0","8.67","428805.775579","21010.0","9995.0","3","22474.7123562"
"","sell","969802.391816","1499000.0","834300.0","188842.837327","894950.0","27176.0","52","834396.320283"
"2870","buy","672691.432904","720000.0","8.48","340474.977449","657600.0","1319.0","4","720000.0"
"","sell","998670.597192","1498000.0","795300.0","177302.569419","990000.0","29555.0","71","795581.72898"
"2871","buy","1202446.15385","1205000.0","1.25","566574.10537","1077000.0","260.0","4","1205000.0"
"","sell","1387966.42596","1500000.0","1269000.0","68062.7416178","1319500.0","10663.0","22","1269547.96961"
"2872","buy","1462133.33333","1530000.0","1.59","631547.551841","1350000.0","975.0","5","1530000.0"
"","sell","1842693.26606","2196000.0","1736000.0","116873.558051","1843500.0","19424.0","22","1761497.11697"
"2875","buy","913890.687472","950000.0","29990.0","335841.699267","900000.0","4422.0","7","948893.668024"
"","sell","1287654.17203","1500000.0","999000.0","109731.773331","1263000.0","14753.0","39","1043432.5222"
"2876","buy","1449979.36442","1459000.0","1.0","663829.428244","1310000.0","2423.0","7","1459000.0"
"","sell","2041589.48695","3000000.0","1698000.0","245042.315154","1899000.0","42062.0","75","1701882.74452"
